ImageId,Label
1,2
2,5
3,9
4,7
5,2
6,7
7,2
8,3
9,6
10,3
11,3
12,7
13,7
14,3
15,9
16,3
17,6
18,1
19,9
20,8
21,9
22,1
23,4
24,7
25,7
26,4
27,2
28,4
29,7
30,7
31,7
32,1
33,4
34,2
35,6
36,2
37,9
38,1
39,6
40,6
41,7
42,7
43,4
44,9
45,3
46,7
47,9
48,2
49,6
50,7
51,6
52,8
53,8
54,5
55,9
56,2
57,1
58,2
59,6
60,5
61,4
62,1
63,7
64,2
65,6
66,2
67,1
68,9
69,7
70,1
71,6
72,7
73,8
74,3
75,2
76,4
77,9
78,7
79,2
80,3
81,5
82,9
83,1
84,5
85,4
86,2
87,4
88,5
89,6
90,7
91,5
92,3
93,6
94,1
95,4
96,4
97,3
98,4
99,7
100,4
101,3
102,5
103,2
104,7
105,8
106,4
107,2
108,3
109,3
110,9
111,6
112,6
113,2
114,2
115,1
116,7
117,2
118,1
119,3
120,9
121,1
122,9
123,2
124,2
125,2
126,3
127,8
128,7
129,8
130,4
131,8
132,9
133,6
134,6
135,6
136,2
137,3
138,1
139,5
140,0
141,4
142,2
143,4
144,5
145,5
146,8
147,7
148,9
149,2
150,8
151,4
152,5
153,3
154,8
155,9
156,1
157,7
158,8
159,7
160,8
161,3
162,6
163,4
164,8
165,1
166,5
167,7
168,6
169,3
170,3
171,3
172,7
173,1
174,6
175,1
176,3
177,7
178,9
179,1
180,2
181,4
182,3
183,5
184,2
185,4
186,9
187,2
188,1
189,2
190,5
191,6
192,8
193,4
194,9
195,2
196,3
197,9
198,7
199,6
200,9
201,1
202,9
203,3
204,5
205,9
206,6
207,9
208,4
209,2
210,2
211,6
212,5
213,3
214,6
215,7
216,2
217,1
218,6
219,3
220,4
221,2
222,3
223,1
224,6
225,2
226,3
227,5
228,6
229,1
230,2
231,3
232,4
233,9
234,1
235,9
236,5
237,3
238,2
239,2
240,6
241,4
242,6
243,2
244,3
245,9
246,5
247,4
248,4
249,5
250,4
251,9
252,4
253,1
254,5
255,8
256,4
257,5
258,1
259,4
260,2
261,6
262,3
263,9
264,5
265,1
266,5
267,6
268,4
269,1
270,1
271,6
272,5
273,6
274,3
275,2
276,4
277,1
278,8
279,8
280,4
281,2
282,7
283,1
284,3
285,8
286,5
287,7
288,0
289,9
290,9
291,8
292,9
293,7
294,4
295,6
296,2
297,3
298,5
299,3
300,3
301,6
302,9
303,8
304,2
305,2
306,9
307,9
308,2
309,4
310,3
311,7
312,5
313,7
314,7
315,1
316,5
317,7
318,4
319,1
320,3
321,4
322,2
323,1
324,9
325,8
326,4
327,5
328,1
329,4
330,5
331,6
332,3
333,1
334,2
335,5
336,7
337,3
338,6
339,6
340,3
341,6
342,2
343,1
344,2
345,6
346,6
347,4
348,5
349,3
350,8
351,6
352,7
353,7
354,2
355,5
356,8
357,7
358,9
359,2
360,1
361,8
362,6
363,3
364,3
365,4
366,2
367,3
368,9
369,1
370,6
371,4
372,8
373,9
374,9
375,7
376,6
377,9
378,5
379,3
380,7
381,4
382,1
383,5
384,4
385,2
386,6
387,2
388,1
389,5
390,7
391,1
392,7
393,9
394,4
395,2
396,1
397,1
398,1
399,7
400,5
401,9
402,7
403,2
404,1
405,1
406,1
407,2
408,2
409,5
410,2
411,3
412,5
413,4
414,1
415,2
416,7
417,1
418,1
419,2
420,4
421,9
422,6
423,6
424,7
425,3
426,1
427,4
428,7
429,9
430,7
431,4
432,5
433,3
434,2
435,6
436,1
437,3
438,7
439,5
440,2
441,1
442,4
443,9
444,4
445,3
446,4
447,1
448,1
449,3
450,7
451,1
452,3
453,6
454,9
455,3
456,9
457,2
458,3
459,1
460,3
461,6
462,7
463,5
464,2
465,4
466,1
467,7
468,4
469,4
470,1
471,1
472,4
473,4
474,5
475,6
476,1
477,1
478,3
479,1
480,5
481,4
482,4
483,1
484,2
485,8
486,4
487,4
488,3
489,3
490,2
491,4
492,4
493,2
494,4
495,2
496,5
497,2
498,3
499,2
500,5
501,2
502,5
503,4
504,2
505,1
506,2
507,3
508,3
509,2
510,2
511,7
512,6
513,2
514,4
515,3
516,2
517,1
518,7
519,7
520,3
521,6
522,4
523,6
524,4
525,9
526,1
527,1
528,1
529,1
530,7
531,2
532,4
533,3
534,7
535,1
536,9
537,2
538,3
539,7
540,3
541,2
542,2
543,0
544,2
545,1
546,8
547,6
548,4
549,2
550,1
551,1
552,3
553,8
554,3
555,7
556,2
557,7
558,5
559,6
560,2
561,2
562,3
563,8
564,1
565,3
566,3
567,4
568,1
569,1
570,6
571,7
572,5
573,5
574,4
575,2
576,4
577,3
578,2
579,9
580,2
581,5
582,1
583,7
584,6
585,7
586,1
587,7
588,3
589,8
590,2
591,3
592,7
593,1
594,9
595,6
596,6
597,6
598,2
599,3
600,6
601,2
602,1
603,9
604,1
605,6
606,2
607,8
608,9
609,6
610,4
611,7
612,4
613,3
614,2
615,2
616,4
617,6
618,5
619,5
620,9
621,3
622,3
623,9
624,7
625,7
626,8
627,9
628,5
629,6
630,1
631,6
632,1
633,7
634,8
635,1
636,4
637,7
638,7
639,8
640,3
641,2
642,4
643,9
644,6
645,4
646,1
647,4
648,4
649,1
650,5
651,4
652,9
653,7
654,2
655,2
656,2
657,4
658,3
659,2
660,7
661,2
662,3
663,4
664,2
665,9
666,9
667,1
668,8
669,3
670,6
671,3
672,4
673,4
674,3
675,5
676,7
677,7
678,8
679,6
680,4
681,6
682,9
683,3
684,1
685,2
686,3
687,9
688,6
689,4
690,0
691,2
692,6
693,2
694,1
695,7
696,4
697,3
698,9
699,7
700,8
701,4
702,2
703,3
704,5
705,2
706,2
707,9
708,4
709,2
710,7
711,6
712,1
713,1
714,0
715,7
716,1
717,2
718,3
719,7
720,4
721,9
722,2
723,1
724,3
725,1
726,6
727,6
728,4
729,7
730,4
731,7
732,1
733,3
734,2
735,3
736,7
737,1
738,3
739,1
740,8
741,4
742,9
743,3
744,4
745,3
746,4
747,2
748,7
749,0
750,6
751,9
752,9
753,4
754,4
755,7
756,4
757,7
758,1
759,1
760,4
761,7
762,5
763,4
764,6
765,9
766,0
767,2
768,8
769,1
770,8
771,6
772,5
773,7
774,1
775,4
776,6
777,4
778,1
779,3
780,6
781,1
782,6
783,6
784,8
785,3
786,8
787,3
788,5
789,8
790,8
791,3
792,6
793,4
794,6
795,9
796,4
797,1
798,2
799,7
800,7
801,1
802,1
803,3
804,3
805,8
806,4
807,9
808,6
809,9
810,1
811,4
812,4
813,7
814,3
815,6
816,4
817,3
818,4
819,7
820,4
821,3
822,8
823,4
824,3
825,1
826,4
827,3
828,4
829,2
830,2
831,8
832,1
833,8
834,9
835,3
836,5
837,6
838,1
839,5
840,3
841,8
842,4
843,5
844,4
845,8
846,6
847,7
848,2
849,1
850,5
851,9
852,9
853,8
854,7
855,2
856,5
857,1
858,8
859,7
860,1
861,6
862,4
863,1
864,4
865,2
866,3
867,6
868,9
869,2
870,3
871,2
872,1
873,4
874,2
875,3
876,9
877,1
878,1
879,5
880,1
881,4
882,4
883,6
884,1
885,2
886,7
887,1
888,8
889,4
890,4
891,1
892,7
893,6
894,3
895,4
896,6
897,5
898,9
899,8
900,1
901,5
902,3
903,3
904,7
905,8
906,7
907,9
908,3
909,2
910,7
911,2
912,7
913,4
914,9
915,1
916,6
917,4
918,5
919,1
920,8
921,7
922,4
923,2
924,9
925,4
926,7
927,9
928,7
929,6
930,3
931,5
932,2
933,1
934,4
935,1
936,3
937,7
938,4
939,9
940,5
941,6
942,2
943,6
944,1
945,2
946,9
947,6
948,2
949,9
950,2
951,6
952,9
953,5
954,9
955,3
956,1
957,2
958,3
959,6
960,2
961,7
962,9
963,4
964,5
965,2
966,3
967,1
968,8
969,8
970,3
971,5
972,1
973,2
974,6
975,7
976,5
977,5
978,6
979,7
